"metabolite_id","dataset_id","study_name","platform","merge_variable","input_metabolite_name","input_metabid","input_chemical_id","input_comp_id","input_hmdb_id","input_cas","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","Standardized name"
"CHEM100003101",59,"Breast Cancer Family Registry","Metabolon","COMP_ID","alpha-CEHC glucuronide*","alpha-cehc glucuronide",NA,"39346","","","",NA,"","",NA,"alpha-CEHC glucuronide"
"CHEM100003119",2,"Prostate Lung Colorectal and Ovarian Cancer Screening Trial","Metabolon","COMP_ID","N-oleoyltaurine","n_oleoyltaurine",NA,"39732","","","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",3,"Cancer Prevention Study II","Metabolon","COMP_ID","N-oleoyltaurine","n-oleoyltaurine",NA,"X39732","","","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",6,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","N-oleoyltaurine","n_oleoyltaurine",NA,"","","","",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","oleoyltaurine","oleoyltaurine",NA,"","","","",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","N-oleoyltaurine","n_oleoyltaurine",NA,"","","","",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",10,"Shanghai Physical Activity Study","Metabolon","COMP_ID","N-oleoyltaurine","n_oleoyltaurine",NA,"39732","","","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",11,"Shanghai Women's Health Study","Metabolon","CORE_FILE_NAME","Oleoyltaurine","oleoyltaurine",NA,"","","","",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",21,"Well for life China","Metabolon","COMP_ID","N-oleoyltaurine","n-oleoyltaurine",NA,"39732","","","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",24,"Born in Bradford","Metabolon","CHEMICAL_ID","N-oleoyltaurine","metmss39732",100003119,"39732","","","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","oleoyltaurine","oleoyltaurine",100003119,"39732","","52514-04-2;","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","N-oleoyltaurine","n_oleoyltaurine",100003119,"39732","","52514-04-2;","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",35,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","N-oleoyltaurine","n_oleoyltaurine",100003119,"39732","","52514-04-2","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",44,"Women One-Carbon Metabolism and Inflammation Study","Metabolon","COMP_ID","N-oleoyltaurine","m_380",NA,"39732","","","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003119",59,"Breast Cancer Family Registry","Metabolon","COMP_ID","N-oleoyltaurine","n-oleoyltaurine",NA,"39732","","","6437033",NA,"","",NA,"NA-Taurine 18:1(9Z)"
"CHEM100003153",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","arginylisoleucine","arginylisoleucine",NA,"","","","",NA,"","",NA,"Arg-Ile"
"CHEM100003153",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","arginylisoleucine","arginylisoleucine",100003153,"40070","","62632-70-6;","433625",NA,"","",NA,"Arg-Ile"
"CHEM100003154",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","arginylleucine","arginylleucine",NA,"","","","",NA,"","",NA,"Arg-Leu"
"CHEM100003154",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","arginylleucine","arginylleucine",100003154,"39995","","1188-24-5;","333445",NA,"","",NA,"Arg-Leu"
"CHEM100003154",36,"Atherosclerosis Risk in Communities Study","Metabolon","COMP_ID","arginylleucine","arginylleucine_std",NA,"39995","","","333445",NA,"","",NA,"Arg-Leu"
"CHEM100003156",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","asparagylleucine","asparagylleucine",NA,"","","","",NA,"","",NA,"Asn-Leu"
"CHEM100003156",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","asparagylleucine","asparagylleucine",NA,"","","","",NA,"","",NA,"Asn-Leu"
"CHEM100003156",10,"Shanghai Physical Activity Study","Metabolon","COMP_ID","asparagylleucine","asparagylleucine",NA,"42980","","","",NA,"","",NA,"Asn-Leu"
"CHEM100003156",11,"Shanghai Women's Health Study","Metabolon","CORE_FILE_NAME","Asparagylleucine","asparagylleucine",NA,"","","","",NA,"","",NA,"Asn-Leu"
"CHEM100003156",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","asparagylleucine","asparagylleucine",100003156,"42980","","","",NA,"","",NA,"Asn-Leu"
"CHEM100003156",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","asparagylleucine","asparagylleucine",100003156,"42980","","","",NA,"","",NA,"Asn-Leu"
"CHEM100003158",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","aspartylleucine","aspartylleucine",NA,"","","","",NA,"","",NA,"Asp-Leu"
"CHEM100003158",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","aspartylleucine","aspartylleucine",NA,"","","","",NA,"","",NA,"Asp-Leu"
"CHEM100003158",10,"Shanghai Physical Activity Study","Metabolon","COMP_ID","aspartylleucine","aspartylleucine",NA,"40068","","","332962",NA,"","",NA,"Asp-Leu"
"CHEM100003158",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","aspartylleucine","aspartylleucine",100003158,"40068","","3062-14-4;","332962",NA,"","",NA,"Asp-Leu"
"CHEM100003158",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","aspartylleucine","aspartylleucine",100003158,"40068","","3062-14-4;","332962",NA,"","",NA,"Asp-Leu"
"CHEM100003159",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","glutamine-isoleucine","glutamine_isoleucine",NA,"","","","",NA,"","",NA,"Gln-Ile"
"CHEM100003161",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","histidylisoleucine","histidylisoleucine",NA,"","","","",NA,"","",NA,"His-Ile"
"CHEM100003161",36,"Atherosclerosis Risk in Communities Study","Metabolon","COMP_ID","histidylisoleucine","histidylisoleucine_std",NA,"43138","","","4060215",NA,"","",NA,"His-Ile"
"CHEM100003162",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","histidylleucine","histidylleucine",NA,"","","","",NA,"","",NA,"His-Leu"
"CHEM100003162",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","histidylleucine","histidylleucine",NA,"","","","",NA,"","",NA,"His-Leu"
"CHEM100003162",30,"Airwave Health Monitoring Study","Metabolon","CHEMICAL_ID","histidylleucine","histidylleucine",100003162,"40061","","7763-65-7","189008;6992010",164234,"","",NA,"His-Leu"
"CHEM100003162",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","histidylleucine","histidylleucine",100003162,"40061","","7763-65-7;","1.89009E+12",NA,"","",NA,"His-Leu"
"CHEM100003162",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","histidylleucine","histidylleucine",100003162,"40061","","7763-65-7;","1.89009E+12",NA,"","",NA,"His-Leu"
"CHEM100003162",36,"Atherosclerosis Risk in Communities Study","Metabolon","COMP_ID","histidylleucine","histidylleucine_std",NA,"40061","","","189008;6992010",NA,"","",NA,"His-Leu"
"CHEM100003163",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylalanine","isoleucylalanine",NA,"","","","",NA,"","",NA,"Ile-Ala"
"CHEM100003163",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylalanine","isoleucylalanine",NA,"","","","",NA,"","",NA,"Ile-Ala"
"CHEM100003163",10,"Shanghai Physical Activity Study","Metabolon","COMP_ID","isoleucylalanine","isoleucylalanine",NA,"40046","","","5246009;5246010",NA,"","",NA,"Ile-Ala"
"CHEM100003163",11,"Shanghai Women's Health Study","Metabolon","CORE_FILE_NAME","Isoleucylalanine","isoleucylalanine",NA,"","","","",NA,"","",NA,"Ile-Ala"
"CHEM100003163",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylalanine","isoleucylalanine",100003163,"40046","","24787-73-3;","5.24601E+13",NA,"","",NA,"Ile-Ala"
"CHEM100003163",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylalanine","isoleucylalanine",100003163,"40046","","24787-73-3;","5.24601E+13",NA,"","",NA,"Ile-Ala"
"CHEM100003166",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylaspartate","isoleucylaspartate",NA,"","","","",NA,"","",NA,"Ile-Asp"
"CHEM100003166",10,"Shanghai Physical Activity Study","Metabolon","COMP_ID","isoleucylaspartate","isoleucylaspartate",NA,"42982","","","",NA,"","",NA,"Ile-Asp"
"CHEM100003166",11,"Shanghai Women's Health Study","Metabolon","CORE_FILE_NAME","Isoleucylaspartate","isoleucylaspartate",NA,"","","","",NA,"","",NA,"Ile-Asp"
"CHEM100003166",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylaspartate","isoleucylaspartate",100003166,"42982","","510-791-9560;","",NA,"","",NA,"Ile-Asp"
"CHEM100003173",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylphenylalanine","isoleucylphenylalanine",NA,"","","","",NA,"","",NA,"Ile-Phe"
"CHEM100003173",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylphenylalanine","isoleucylphenylalanine",100003173,"40067","","22951-98-0;","435728",NA,"","",NA,"Ile-Phe"
"CHEM100003175",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylthreonine","isoleucylthreonine",NA,"","","","",NA,"","",NA,"Ile-Thr"
"CHEM100003175",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylthreonine","isoleucylthreonine",NA,"","","","",NA,"","",NA,"Ile-Thr"
"CHEM100003175",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylthreonine","isoleucylthreonine",100003175,"42968","","","",NA,"","",NA,"Ile-Thr"
"CHEM100003175",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylthreonine","isoleucylthreonine",100003175,"42968","","","",NA,"","",NA,"Ile-Thr"
"CHEM100003175",36,"Atherosclerosis Risk in Communities Study","Metabolon","COMP_ID","isoleucylthreonine","isoleucylthreonine_std",NA,"42968","","","16122515",NA,"","",NA,"Ile-Thr"
"CHEM100003178",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylvaline","isoleucylvaline",NA,"","","","",NA,"","",NA,"Ile-Val"
"CHEM100003178",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","isoleucylvaline","isoleucylvaline",NA,"","","","",NA,"","",NA,"Ile-Val"
"CHEM100003178",10,"Shanghai Physical Activity Study","Metabolon","COMP_ID","isoleucylvaline","isoleucylvaline",NA,"40049","","","5246011;435949",NA,"","",NA,"Ile-Val"
"CHEM100003178",11,"Shanghai Women's Health Study","Metabolon","CORE_FILE_NAME","Isoleucylvaline","isoleucylvaline",NA,"","","","",NA,"","",NA,"Ile-Val"
"CHEM100003178",29,"Twins United Kingdom","Metabolon","CHEMICAL_ID","isoleucylvaline","m40049",100003178,"40049","","","",NA,"","",NA,"Ile-Val"
"CHEM100003178",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylvaline","isoleucylvaline",100003178,"40049","","41017-96-3;","5.24601E+12",NA,"","",NA,"Ile-Val"
"CHEM100003178",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","isoleucylvaline","isoleucylvaline",100003178,"40049","","41017-96-3;","5.24601E+12",NA,"","",NA,"Ile-Val"
"CHEM100003180",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","leucylarginine","leucylarginine",100003180,"40028","","26607-15-8;","3800205",NA,"","",NA,"Leu-Arg"
