"uid_01","hmdb_id","biochemical","uid_01_final","hmdb_id_final","biochemical_final","biochemical_final_final","biochemical_final_final_final","uid_01_final_1","uid_01_final_2"
"HMDB59632","HMDB0059632","(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate","HMDB59632","HMDB0059632","(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate","(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate","9s_10s_10_hydroxy_9_phosphonooxy_octadecanoate","HMDB59632","HMDB0059632"
"HMDB59633","HMDB0059633","(9S,10S)-9,10-dihydroxyoctadecanoate","HMDB59633","HMDB0059633","(9S,10S)-9,10-dihydroxyoctadecanoate","(9S,10S)-9,10-dihydroxyoctadecanoate","9s_10s_9_10_dihydroxyoctadecanoate","HMDB59633","HMDB0059633"
"HMDB33505","HMDB0033505","(9Z,11R,12S,13S,15Z)-12,13-Epoxy-11-hydroxy-9,15-octadecadienoic acid","HMDB33505","HMDB0033505","(9Z,11R,12S,13S,15Z)-12,13-Epoxy-11-hydroxy-9,15-octadecadienoic acid","(9Z,11R,12S,13S,15Z)-12,13-Epoxy-11-hydroxy-9,15-octadecadienoic acid","9z_11r_12s_13s_15z_12_13_epoxy_11_hydroxy_9_15_octadecadienoic acid","HMDB33505","HMDB0033505"
"HMDB31725","HMDB0031725","(E)-3-(2-Hydroxyphenyl)-2-propenal","HMDB31725","HMDB0031725","(E)-3-(2-Hydroxyphenyl)-2-propenal","(E)-3-(2-Hydroxyphenyl)-2-propenal","e_3_2_hydroxyphenyl_2_propenal","HMDB31725","HMDB0031725"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","CHEM100003425","","Cis-urocanate","Cis-urocanate","cis_urocanate","CHEM100003425","CHEM100003425"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","CHEM100003425","","(E)-Urocanic acid","(E)-Urocanic acid","e_urocanic acid","CHEM100003425","CHEM100003425"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","CHEM100003425","HMDB0034174","Cis-urocanate","Cis-urocanate","cis_urocanate","CHEM100003425","CHEM100003425"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","CHEM100003425","HMDB0034174","(E)-Urocanic acid","(E)-Urocanic acid","e_urocanic acid","CHEM100003425","CHEM100003425"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","HMDB34174","","Cis-urocanate","Cis-urocanate","cis_urocanate","HMDB34174","HMDB0034174"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","HMDB34174","","(E)-Urocanic acid","(E)-Urocanic acid","e_urocanic acid","HMDB34174","HMDB0034174"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","HMDB34174","HMDB0034174","Cis-urocanate","Cis-urocanate","cis_urocanate","HMDB34174","HMDB0034174"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid","HMDB34174","HMDB0034174","(E)-Urocanic acid","(E)-Urocanic acid","e_urocanic acid","HMDB34174","HMDB0034174"
"HMDB31180","HMDB0031180","(E,E)-2,4-Hexadienedial","HMDB31180","HMDB0031180","(E,E)-2,4-Hexadienedial","(E,E)-2,4-Hexadienedial","e_e_2_4_hexadienedial","HMDB31180","HMDB0031180"
"HMDB31057","HMDB0031057","(R)-2-Hydroxyhexadecanoic acid","HMDB31057","HMDB0031057","(R)-2-Hydroxyhexadecanoic acid","(R)-2-Hydroxyhexadecanoic acid","r_2_hydroxyhexadecanoic acid","HMDB31057","HMDB0031057"
"HMDB01934","HMDB0001934","L(-)-Nicotine","HMDB01934","HMDB0001934","L(-)-Nicotine","L(-)-Nicotine","l_nicotine","HMDB01934","HMDB0001934"
"HMDB12140","HMDB0012140","(R) 2,3-Dihydroxy-3-methylvalerate","HMDB12140","HMDB0012140","(R) 2,3-Dihydroxy-3-methylvalerate","(R) 2,3-Dihydroxy-3-methylvalerate","r_2_3_dihydroxy_3_methylvalerate","HMDB12140","HMDB0012140"
"CHEM100006367","","3-hydroxyhexanoate or X - 21892","CHEM100006367","","3-hydroxyhexanoate or X - 21892","3-hydroxyhexanoate","3_hydroxyhexanoate","CHEM100006367","CHEM100006367"
"CHEM100006367","","3-hydroxyhexanoate or X - 21892","CHEM100006367","","3-hydroxyhexanoate or X - 21892","X - 21892","x_21892","CHEM100006367","CHEM100006367"
"HMDB01954","HMDB0001954","3-Hydroxyoctanoic acid","HMDB01954","HMDB0001954","3-Hydroxyoctanoic acid","3-Hydroxyoctanoic acid","3_hydroxyoctanoic acid","HMDB01954","HMDB0001954"
"HMDB38920","HMDB0038920","(S)-3-Mercaptohexyl acetate","HMDB38920","HMDB0038920","(S)-3-Mercaptohexyl acetate","(S)-3-Mercaptohexyl acetate","s_3_mercaptohexyl acetate","HMDB38920","HMDB0038920"
"HMDB60176","HMDB0060176","(S)-3-Sulfonatolactate","HMDB60176","HMDB0060176","(S)-3-Sulfonatolactate","(S)-3-Sulfonatolactate","s_3_sulfonatolactate","HMDB60176","HMDB0060176"
"HMDB33433","HMDB0033433","(S)-Homostachydrine","HMDB33433","HMDB0033433","(S)-Homostachydrine","(S)-Homostachydrine","s_homostachydrine","HMDB33433","HMDB0033433"
"HMDB29432","HMDB0029432","(S)C(S)S-S-Methylcysteine sulfoxide","HMDB29432","HMDB0029432","(S)C(S)S-S-Methylcysteine sulfoxide","(S)C(S)S-S-Methylcysteine sulfoxide","s_c_s_s_s_methylcysteine sulfoxide","HMDB29432","HMDB0029432"
"HMDB41480","HMDB0041480","(Z)-13-Octadecenoic acid","HMDB41480","HMDB0041480","(Z)-13-Octadecenoic acid","(Z)-13-Octadecenoic acid","z_13_octadecenoic acid","HMDB41480","HMDB0041480"
"HMDB41422","HMDB0041422","(Z)-14-Methyl-6-pentadecenoic acid","HMDB41422","HMDB0041422","(Z)-14-Methyl-6-pentadecenoic acid","(Z)-14-Methyl-6-pentadecenoic acid","z_14_methyl_6_pentadecenoic acid","HMDB41422","HMDB0041422"
"HMDB31063","HMDB0031063","(Z)-3-Methyl-4-decenoic acid","HMDB31063","HMDB0031063","(Z)-3-Methyl-4-decenoic acid","(Z)-3-Methyl-4-decenoic acid","z_3_methyl_4_decenoic acid","HMDB31063","HMDB0031063"
"HMDB38996","HMDB0038996","(Z)-6-Tetradecene-1,3-diyne-5,8-diol","HMDB38996","HMDB0038996","(Z)-6-Tetradecene-1,3-diyne-5,8-diol","(Z)-6-Tetradecene-1,3-diyne-5,8-diol","z_6_tetradecene_1_3_diyne_5_8_diol","HMDB38996","HMDB0038996"
"HMDB31046","HMDB0031046","(Z)-9-Heptadecenoic acid","HMDB31046","HMDB0031046","(Z)-9-Heptadecenoic acid","(Z)-9-Heptadecenoic acid","z_9_heptadecenoic acid","HMDB31046","HMDB0031046"
"HMDB32124","HMDB0032124","(Z)-Methyl 3-(methylsulfinyl)-1-propenyl disulfide","HMDB32124","HMDB0032124","(Z)-Methyl 3-(methylsulfinyl)-1-propenyl disulfide","(Z)-Methyl 3-(methylsulfinyl)-1-propenyl disulfide","z_methyl 3_methylsulfinyl_1_propenyl disulfide","HMDB32124","HMDB0032124"
"HMDB01388","HMDB0001388","Alpha-Linolenic acid","HMDB01388","HMDB0001388","Alpha-Linolenic acid","Alpha-Linolenic acid","alpha_linolenic acid","HMDB01388","HMDB0001388"
"HMDB01893","HMDB0001893","Alpha-Tocopherol","HMDB01893","HMDB0001893","Alpha-Tocopherol","Alpha-Tocopherol","alpha_tocopherol","HMDB01893","HMDB0001893"
"HMDB06335","HMDB0006335","Beta-tocopherol","HMDB06335","HMDB0006335","Beta-tocopherol","Beta-tocopherol","beta_tocopherol","HMDB06335","HMDB0006335"
"HMDB01492","HMDB0001492","Gamma-Tocopherol","HMDB01492","HMDB0001492","Gamma-Tocopherol","Gamma-Tocopherol","gamma_tocopherol","HMDB01492","HMDB0001492"
"HMDB00224","HMDB0000224","O-Phosphoethanolamine","HMDB00224","HMDB0000224","O-Phosphoethanolamine","O-Phosphoethanolamine","o_phosphoethanolamine","HMDB00224","HMDB0000224"
"HMDB02259","HMDB0002259","Heptadecanoic acid","HMDB02259","HMDB0002259","Heptadecanoic acid","Heptadecanoic acid","heptadecanoic acid","HMDB02259","HMDB0002259"
"HMDB00190","HMDB0000190","L-Lactic acid","HMDB00190","HMDB0000190","L-Lactic acid","L-Lactic acid","l_lactic acid","HMDB00190","HMDB0000190"
"HMDB01266","HMDB0001266","L-Sorbose","HMDB01266","HMDB0001266","L-Sorbose","L-Sorbose","l_sorbose","HMDB01266","HMDB0001266"
"HMDB00254","HMDB0000254","Succinic acid","HMDB00254","HMDB0000254","Succinic acid","Succinic acid","succinic acid","HMDB00254","HMDB0000254"
"HMDB00289","HMDB0000289","Uric acid","HMDB00289","HMDB0000289","Uric acid","Uric acid","uric acid","HMDB00289","HMDB0000289"
"HMDB00289_B1","HMDB0000289","Uric acid","HMDB00289_B1","HMDB0000289","Uric acid","Uric acid","uric acid","HMDB00289_B1","HMDB0000289"
"HMDB00292","HMDB0000292","Xanthine","HMDB00292","HMDB0000292","Xanthine","Xanthine","xanthine","HMDB00292","HMDB0000292"
"HMDB00565","HMDB0000565","Galactonic acid","HMDB00565","HMDB0000565","Galactonic acid","Galactonic acid","galactonic acid","HMDB00565","HMDB0000565"
"HMDB00162","HMDB0000162","L-Proline","HMDB00162","HMDB0000162","L-Proline","L-Proline","l_proline","HMDB00162","HMDB0000162"
"HMDB04136","HMDB0004136","D-Threitol","HMDB04136","HMDB0004136","D-Threitol","D-Threitol","d_threitol","HMDB04136","HMDB0004136"
"HMDB01645","HMDB0001645","L-Norleucine","HMDB01645","HMDB0001645","L-Norleucine","L-Norleucine","l_norleucine","HMDB01645","HMDB0001645"
"HMDB02712","HMDB0002712","1,5-Anhydrosorbitol","HMDB02712","HMDB0002712","1,5-Anhydrosorbitol","1,5-Anhydrosorbitol","1_5_anhydrosorbitol","HMDB02712","HMDB0002712"
"HMDB00168","HMDB0000168","L-Asparagine","HMDB00168","HMDB0000168","L-Asparagine","L-Asparagine","l_asparagine","HMDB00168","HMDB0000168"
"HMDB00056","HMDB0000056","beta-Alanine","HMDB00056","HMDB0000056","beta-Alanine","beta-Alanine","beta_alanine","HMDB00056","HMDB0000056"
"HMDB00122","HMDB0000122","D-Glucose","HMDB00122","HMDB0000122","D-Glucose","D-Glucose","d_glucose","HMDB00122","HMDB0000122"
"HMDB00094","HMDB0000094","Citric acid","HMDB00094","HMDB0000094","Citric acid","Citric acid","citric acid","HMDB00094","HMDB0000094"
"HMDB00148","HMDB0000148","L-Glutamic acid","HMDB00148","HMDB0000148","L-Glutamic acid","L-Glutamic acid","l_glutamic acid","HMDB00148","HMDB0000148"
"HMDB00148_B1","HMDB0000148","L-Glutamic acid","HMDB00148_B1","HMDB0000148","L-Glutamic acid","L-Glutamic acid","l_glutamic acid","HMDB00148_B1","HMDB0000148"
"HMDB00638","HMDB0000638","Dodecanoic acid","HMDB00638","HMDB0000638","Dodecanoic acid","Dodecanoic acid","dodecanoic acid","HMDB00638","HMDB0000638"
"HMDB03229_B1","HMDB0003229","Palmitoleic acid","HMDB03229_B1","HMDB0003229","Palmitoleic acid","Palmitoleic acid","palmitoleic acid","HMDB03229_B1","HMDB0003229"
"HMDB00207","HMDB0000207","Oleic acid","HMDB00207","HMDB0000207","Oleic acid","Oleic acid","oleic acid","HMDB00207","HMDB0000207"
"HMDB00202","HMDB0000202","Methylmalonic acid","HMDB00202","HMDB0000202","Methylmalonic acid","Methylmalonic acid","methylmalonic acid","HMDB00202","HMDB0000202"
"HMDB00673","HMDB0000673","Linoleic acid","HMDB00673","HMDB0000673","Linoleic acid","Linoleic acid","linoleic acid","HMDB00673","HMDB0000673"
"HMDB05060","HMDB0005060","Eicosadienoic acid","HMDB05060","HMDB0005060","Eicosadienoic acid","Eicosadienoic acid","eicosadienoic acid","HMDB05060","HMDB0005060"
"HMDB11537","HMDB0011537","MG(0:0/18:1(9Z)/0:0)","HMDB11537","HMDB0011537","MG(0:0/18:1(9Z)/0:0)","MG(0:0/18:1(9Z)/0:0)","mg_0_0_18_1_9z_0_0","HMDB11537","HMDB0011537"
"HMDB00943","HMDB0000943","Threonic acid","HMDB00943","HMDB0000943","Threonic acid","Threonic acid","threonic acid","HMDB00943","HMDB0000943"
"HMDB00247","HMDB0000247","Sorbitol","HMDB00247","HMDB0000247","Sorbitol","Sorbitol","sorbitol","HMDB00247","HMDB0000247"
"HMDB00725","HMDB0000725","4-Hydroxyproline","HMDB00725","HMDB0000725","4-Hydroxyproline","4-Hydroxyproline","4_hydroxyproline","HMDB00725","HMDB0000725"
"HMDB00562","HMDB0000562","Creatinine","HMDB00562","HMDB0000562","Creatinine","Creatinine","creatinine","HMDB00562","HMDB0000562"
"HMDB00187","HMDB0000187","L-Serine","HMDB00187","HMDB0000187","L-Serine","L-Serine","l_serine","HMDB00187","HMDB0000187"
"HMDB00191","HMDB0000191","L-Aspartic acid","HMDB00191","HMDB0000191","L-Aspartic acid","L-Aspartic acid","l_aspartic acid","HMDB00191","HMDB0000191"
"HMDB00191_B1","HMDB0000191","L-Aspartic acid","HMDB00191_B1","HMDB0000191","L-Aspartic acid","L-Aspartic acid","l_aspartic acid","HMDB00191_B1","HMDB0000191"
"HMDB00182","HMDB0000182","L-Lysine","HMDB00182","HMDB0000182","L-Lysine","L-Lysine","l_lysine","HMDB00182","HMDB0000182"
"HMDB00258","HMDB0000258","Sucrose","HMDB00258","HMDB0000258","Sucrose","Sucrose","sucrose","HMDB00258","HMDB0000258"
"HMDB00195","HMDB0000195","Inosine","HMDB00195","HMDB0000195","Inosine","Inosine","inosine","HMDB00195","HMDB0000195"
"HMDB00296","HMDB0000296","Uridine","HMDB00296","HMDB0000296","Uridine","Uridine","uridine","HMDB00296","HMDB0000296"
"HMDB00158","HMDB0000158","L-Tyrosine","HMDB00158","HMDB0000158","L-Tyrosine","L-Tyrosine","l_tyrosine","HMDB00158","HMDB0000158"
"HMDB00158_B1","HMDB0000158","L-Tyrosine","HMDB00158_B1","HMDB0000158","L-Tyrosine","L-Tyrosine","l_tyrosine","HMDB00158_B1","HMDB0000158"
"HMDB00158_B2","HMDB0000158","L-Tyrosine","HMDB00158_B2","HMDB0000158","L-Tyrosine","L-Tyrosine","l_tyrosine","HMDB00158_B2","HMDB0000158"
"HMDB00687","HMDB0000687","L-Leucine","HMDB00687","HMDB0000687","L-Leucine","L-Leucine","l_leucine","HMDB00687","HMDB0000687"
"HMDB00696","HMDB0000696","L-Methionine","HMDB00696","HMDB0000696","L-Methionine","L-Methionine","l_methionine","HMDB00696","HMDB0000696"
"HMDB00696_B1","HMDB0000696","L-Methionine","HMDB00696_B1","HMDB0000696","L-Methionine","L-Methionine","l_methionine","HMDB00696_B1","HMDB0000696"
"HMDB00162_B1","HMDB0000162","L-Proline","HMDB00162_B1","HMDB0000162","L-Proline","L-Proline","l_proline","HMDB00162_B1","HMDB0000162"
"HMDB00163","HMDB0000163","D-Maltose","HMDB00163","HMDB0000163","D-Maltose","D-Maltose","d_maltose","HMDB00163","HMDB0000163"
"HMDB00214","HMDB0000214","Ornithine","HMDB00214","HMDB0000214","Ornithine","Ornithine","ornithine","HMDB00214","HMDB0000214"
"HMDB00177","HMDB0000177","L-Histidine","HMDB00177","HMDB0000177","L-Histidine","L-Histidine","l_histidine","HMDB00177","HMDB0000177"
"HMDB00177_B1","HMDB0000177","L-Histidine","HMDB00177_B1","HMDB0000177","L-Histidine","L-Histidine","l_histidine","HMDB00177_B1","HMDB0000177"
"HMDB00883","HMDB0000883","L-Valine","HMDB00883","HMDB0000883","L-Valine","L-Valine","l_valine","HMDB00883","HMDB0000883"
"HMDB00167","HMDB0000167","L-Threonine","HMDB00167","HMDB0000167","L-Threonine","L-Threonine","l_threonine","HMDB00167","HMDB0000167"
"HMDB00167_B1","HMDB0000167","L-Threonine","HMDB00167_B1","HMDB0000167","L-Threonine","L-Threonine","l_threonine","HMDB00167_B1","HMDB0000167"
"HMDB00929","HMDB0000929","L-Tryptophan","HMDB00929","HMDB0000929","L-Tryptophan","L-Tryptophan","l_tryptophan","HMDB00929","HMDB0000929"
"HMDB00573","HMDB0000573","Elaidic acid","HMDB00573","HMDB0000573","Elaidic acid","Elaidic acid","elaidic acid","HMDB00573","HMDB0000573"
"HMDB03911","HMDB0003911","3-Aminoisobutanoic acid","HMDB03911","HMDB0003911","3-Aminoisobutanoic acid","3-Aminoisobutanoic acid","3_aminoisobutanoic acid","HMDB03911","HMDB0003911"
"HMDB03072","HMDB0003072","Quinic acid","HMDB03072","HMDB0003072","Quinic acid","Quinic acid","quinic acid","HMDB03072","HMDB0003072"
"HMDB13716","HMDB0013716","Norvaline","HMDB13716","HMDB0013716","Norvaline","Norvaline","norvaline","HMDB13716","HMDB0013716"
"HMDB03402","HMDB0003402","Pectin","HMDB03402","HMDB0003402","Pectin","Pectin","pectin","HMDB03402","HMDB0003402"
"HMDB00646","HMDB0000646","L-Arabinose","HMDB00646","HMDB0000646","L-Arabinose","L-Arabinose","l_arabinose","HMDB00646","HMDB0000646"
"HMDB00695_B1","HMDB0000695","Ketoleucine","HMDB00695_B1","HMDB0000695","Ketoleucine","Ketoleucine","ketoleucine","HMDB00695_B1","HMDB0000695"
"HMDB00641","HMDB0000641","L-Glutamine","HMDB00641","HMDB0000641","L-Glutamine","L-Glutamine","l_glutamine","HMDB00641","HMDB0000641"
"HMDB00641_B1","HMDB0000641","L-Glutamine","HMDB00641_B1","HMDB0000641","L-Glutamine","L-Glutamine","l_glutamine","HMDB00641_B1","HMDB0000641"
"HMDB00641_B2","HMDB0000641","L-Glutamine","HMDB00641_B2","HMDB0000641","L-Glutamine","L-Glutamine","l_glutamine","HMDB00641_B2","HMDB0000641"
"HMDB00267","HMDB0000267","Pyroglutamic acid","HMDB00267","HMDB0000267","Pyroglutamic acid","Pyroglutamic acid","pyroglutamic acid","HMDB00267","HMDB0000267"
"HMDB00123","HMDB0000123","Glycine","HMDB00123","HMDB0000123","Glycine","Glycine","glycine","HMDB00123","HMDB0000123"
"HMDB00126","HMDB0000126","Glycerol 3-phosphate","HMDB00126","HMDB0000126","Glycerol 3-phosphate","Glycerol 3-phosphate","glycerol 3_phosphate","HMDB00126","HMDB0000126"
"HMDB00115","HMDB0000115","Glycolic acid","HMDB00115","HMDB0000115","Glycolic acid","Glycolic acid","glycolic acid","HMDB00115","HMDB0000115"
"HMDB00157","HMDB0000157","Hypoxanthine","HMDB00157","HMDB0000157","Hypoxanthine","Hypoxanthine","hypoxanthine","HMDB00157","HMDB0000157"
"HMDB00172","HMDB0000172","L-Isoleucine","HMDB00172","HMDB0000172","L-Isoleucine","L-Isoleucine","l_isoleucine","HMDB00172","HMDB0000172"
"HMDB00172_B1","HMDB0000172","L-Isoleucine","HMDB00172_B1","HMDB0000172","L-Isoleucine","L-Isoleucine","l_isoleucine","HMDB00172_B1","HMDB0000172"
"HMDB00721","HMDB0000721","Glycylproline","HMDB00721","HMDB0000721","Glycylproline","Glycylproline","glycylproline","HMDB00721","HMDB0000721"
"HMDB02917_HMDB00568","HMDB0002917","D-Xylitol","HMDB02917_HMDB00568","HMDB0002917","D-Xylitol","D-Xylitol","d_xylitol","HMDB02917_HMDB00568","HMDB0002917_HMDB00568"
"HMDB00211","HMDB0000211","myo-Inositol","HMDB00211","HMDB0000211","myo-Inositol","myo-Inositol","myo_inositol","HMDB00211","HMDB0000211"
"HMDB00744","HMDB0000744","Malic acid","HMDB00744","HMDB0000744","Malic acid","Malic acid","malic acid","HMDB00744","HMDB0000744"
"HMDB00671","HMDB0000671","Indolelactic acid","HMDB00671","HMDB0000671","Indolelactic acid","Indolelactic acid","indolelactic acid","HMDB00671","HMDB0000671"
"HMDB00904","HMDB0000904","Citrulline","HMDB00904","HMDB0000904","Citrulline","Citrulline","citrulline","HMDB00904","HMDB0000904"
"HMDB00904_B1","HMDB0000904","Citrulline","HMDB00904_B1","HMDB0000904","Citrulline","Citrulline","citrulline","HMDB00904_B1","HMDB0000904"
"HMDB00220","HMDB0000220","Palmitic acid","HMDB00220","HMDB0000220","Palmitic acid","Palmitic acid","palmitic acid","HMDB00220","HMDB0000220"
"HMDB00283","HMDB0000283","D-Ribose","HMDB00283","HMDB0000283","D-Ribose","D-Ribose","d_ribose","HMDB00283","HMDB0000283"
"HMDB00159","HMDB0000159","L-Phenylalanine","HMDB00159","HMDB0000159","L-Phenylalanine","L-Phenylalanine","l_phenylalanine","HMDB00159","HMDB0000159"
"CHEM100001281","","HWESASLLR ([H]HWESASLLR[OH])","CHEM100001281","","HWESASLLR ([H]HWESASLLR[OH])","HWESASLLR ([H]HWESASLLR[OH])","hwesasllr_h_hwesasllr_oh","CHEM100001281","CHEM100001281"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*","CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*","1-(1-enyl-oleoyl)-GPE (P-18:1)*","1_1_enyl_oleoyl_gpe_p_18_1","CHEM100005372","CHEM100005372"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*","CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*","1-oleoylplasmenylethanolamine*","1_oleoylplasmenylethanolamine","CHEM100005372","CHEM100005372"
"HMDB11220","HMDB0011220","PC(P-16:0/20:4(5Z,8Z,11Z,14Z))","HMDB11220","HMDB0011220","PC(P-16:0/20:4(5Z,8Z,11Z,14Z))","PC(P-16:0/20:4(5Z,8Z,11Z,14Z))","pc_p_16_0_20_4_5z_8z_11z_14z","HMDB11220","HMDB0011220"
"HMDB11352","HMDB0011352","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","HMDB11352","HMDB0011352","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","pe_p_16_0_20_4_5z_8z_11z_14z","HMDB11352","HMDB0011352"
"HMDB11211","HMDB0011211","PC(P-16:0/18:2(9Z,12Z))","HMDB11211","HMDB0011211","PC(P-16:0/18:2(9Z,12Z))","PC(P-16:0/18:2(9Z,12Z))","pc_p_16_0_18_2_9z_12z","HMDB11211","HMDB0011211"
"HMDB11343","HMDB0011343","PE(P-16:0/18:2(9Z,12Z))","HMDB11343","HMDB0011343","PE(P-16:0/18:2(9Z,12Z))","PE(P-16:0/18:2(9Z,12Z))","pe_p_16_0_18_2_9z_12z","HMDB11343","HMDB0011343"
"CHEM100009007","","1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","CHEM100009007","","1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","1_1_enyl_palmitoyl_2_oleoyl_gpc_p_16_0_18_1","CHEM100009007","CHEM100009007"
